NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO,CENARIO
B124,0.0315,3.74,30,13.9,79.1,rua,0.4,18.75,0.29,524.19,0.0106,524.19,85.0,1.0,Transbordamento,11.23,2.9,11.25,99.82222222222222,25.77777777777778,13.9,0.0,0.0,0.03,0.0,01
B126,0.0315,3.74,30,13.9,79.1,rua,0.4,18.75,0.29,524.19,0.0106,524.19,85.0,1.0,Transbordamento,11.23,2.9,11.25,99.82222222222222,25.77777777777778,13.9,0.0,0.0,0.03,0.0,01
B128,0.0315,3.74,30,13.9,79.1,rua,0.4,18.75,0.29,524.19,0.0106,524.19,85.0,1.0,Transbordamento,11.23,2.9,11.25,99.82222222222222,25.77777777777778,13.9,0.0,0.0,0.03,0.0,01
B130,0.0315,3.74,30,13.9,79.1,rua,0.6,18.75,0.28,644.55,0.0142,314.4146341463415,85.0,2.05,Transbordamento,11.23,2.9,11.25,99.82222222222222,25.77777777777778,13.9,0.0,0.0,0.03,0.0,01
B132,0.0315,10.0,30,13.9,79.1,rua,0.6,18.75,0.28,644.55,0.0142,314.4146341463415,85.0,2.05,Transbordamento,11.26,2.89,11.29,99.73427812223208,25.597874224977858,13.9,0.0,0.0,0.04,0.0,01
B135,0.0315,10.0,30,13.9,79.1,rua,0.6,18.75,0.28,644.55,0.0142,314.4146341463415,85.0,2.05,Transbordamento,11.26,2.89,11.29,99.73427812223208,25.597874224977858,13.9,0.0,0.0,0.04,0.0,01
B137,0.0315,10.0,30,13.9,79.1,rua,0.6,18.75,0.28,644.55,0.0142,314.4146341463415,85.0,2.05,Transbordamento,11.26,2.89,11.29,99.73427812223208,25.597874224977858,13.9,0.0,0.0,0.04,0.0,01
BBB118,0.0618,1.29,30,13.9,83.0,rua,0.4,18.75,1.04,416.41,0.0177,0.0,85.0,1.0,Normal,11.53,2.36,11.54,99.91334488734836,20.45060658578856,13.9,0.0,0.0,0.01,0.01,01
B48,0.0618,1.0,30,13.9,83.0,rua,0.4,18.75,0.14,,,0.0848484848484848,85.0,1.65,Normal,11.49,2.36,11.5,99.91304347826087,20.52173913043478,13.9,0.0,0.0,0.01,0.01,01
BB117,0.0618,1.29,30,13.9,83.0,rua,0.4,18.75,1.0,0.604,0.004,0.0,85.0,1.0,Normal,11.53,2.36,11.54,99.91334488734836,20.45060658578856,13.9,0.0,0.0,0.01,0.01,01
B83,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.22,,,0.22,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B81,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.22,,,0.22,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B79,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.22,,,0.22,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B77,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.22,,,0.22,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B75,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.22,,,0.22,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B73,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.85,214.47,0.0105,0.452,85.0,1.0,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
