NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO
B27,0.0618,1.0,115,54.3,87.5,rua,0.4,18.75,1.34,73.42,0.0897,0.0,89.0,1.0,Normal,53.06,2.6,57.22,92.72981475008739,4.543865781195387,61.59,0.0,0.0,4.62,0.04
B25,0.0618,1.0,115,54.3,87.5,rua,0.4,18.75,2.05,324.15,0.0706,0.0,89.0,1.0,Normal,53.06,2.6,57.22,92.72981475008739,4.543865781195387,61.59,0.0,0.0,4.62,0.04
B24,0.0618,1.0,115,54.3,87.5,rua,0.4,18.75,2.01,1.610,1.010,0.0,89.0,1.0,Normal,53.06,2.6,57.68,91.99029126213593,4.507628294036061,61.59,0.0,0.0,4.62,0.04
B67,0.0618,1.0,115,54.3,87.5,rua,0.4,18.75,0.77,43.69,0.0353,0.42514285714285716,89.0,0.875,Normal,53.06,2.6,57.22,92.72981475008739,4.543865781195387,61.59,0.0,0.0,4.62,0.04
B68,0.0618,1.0,115,54.3,87.5,rua,0.4,18.75,0.83,73.42,0.0897,0.433,89.0,1.0,Normal,53.06,2.6,57.22,92.72981475008739,4.543865781195387,61.59,0.0,0.0,4.62,0.04
B98,0.0618,1.29,115,54.3,87.5,rua,0.4,18.75,1.93,246.42,0.0898,0.0,89.0,1.075,Normal,53.13,2.6,57.3,92.72251308900525,4.537521815008726,61.59,0.0,0.0,4.64,0.04
B97,0.0618,1.29,115,54.3,87.5,rua,0.4,12.75,1.36,0.961,0.286,0.0,89.0,1.075,Normal,52.89,2.6,57.02,92.75692739389687,4.559803577692038,61.59,0.0,0.0,4.59,0.04
B46,0.042,1.0,115,54.3,87.5,rua,0.6,18.75,0.97,603.71,0.0663,0.30583333333333335,89.0,1.2,Normal,53.28,2.6,57.48,92.69311064718163,4.523312456506611,61.59,0.0,0.0,4.66,0.02
B45,0.0721,1.0,115,54.3,87.5,rua,0.4,18.75,0.83,63.17,0.0774,0.34552845528455284,89.0,1.23,Normal,53.0,2.6,57.14,92.75463773188659,4.550227511375569,61.59,0.0,0.0,4.61,0.04
B47,0.0738,1.0,115,54.3,87.5,rua,0.6,18.75,0.39,642.61,0.0783,514.088,89.0,1.25,Transbordamento,52.98,2.6,57.12,92.75210084033614,4.551820728291317,61.59,0.0,0.0,4.6,0.04
B44,0.042,1.0,115,54.3,87.5,rua,0.6,18.75,0.97,603.71,0.0663,0.30583333333333335,89.0,1.2,Normal,53.28,2.6,57.47,92.70923960327127,4.524099530189664,61.59,0.0,0.0,4.66,0.02
B122,0.0618,3.74,115,54.3,87.5,rua,0.4,23.0,1.37,496.33,0.0356,0.0,89.0,1.36,Normal,53.45,2.6,57.68,92.66643550624134,4.507628294036061,61.59,0.0,0.0,4.7,0.04
B124,0.0315,3.74,115,54.3,87.5,rua,0.4,18.75,0.32,582.17,0.0546,582.17,89.0,1.0,Transbordamento,53.6,2.6,57.85,92.6534140017286,4.49438202247191,61.59,0.0,0.0,4.72,0.02
B126,0.0315,3.74,115,54.3,87.5,rua,0.4,18.75,0.32,582.17,0.0546,582.17,89.0,1.0,Transbordamento,53.6,2.6,57.85,92.6534140017286,4.49438202247191,61.59,0.0,0.0,4.72,0.02
B128,0.0315,3.74,115,54.3,87.5,rua,0.4,18.75,0.32,582.17,0.0546,582.17,89.0,1.0,Transbordamento,53.6,2.6,57.85,92.6534140017286,4.49438202247191,61.59,0.0,0.0,4.72,0.02
B130,0.0315,3.74,115,54.3,87.5,rua,0.6,18.75,0.31,733.64,0.0729,357.8731707317073,89.0,2.05,Transbordamento,53.6,2.6,57.85,92.6534140017286,4.49438202247191,61.59,0.0,0.0,4.72,0.02
B132,0.0315,10.0,115,54.3,87.5,rua,0.6,18.75,0.31,733.64,0.0729,357.8731707317073,89.0,2.05,Transbordamento,53.7,2.6,57.97,92.6341210971192,4.4850784888735555,61.59,0.0,0.0,4.74,0.02
B135,0.0315,10.0,115,54.3,87.5,rua,0.6,18.75,0.31,733.64,0.0729,357.8731707317073,89.0,2.05,Transbordamento,53.7,2.6,57.97,92.6341210971192,4.4850784888735555,61.59,0.0,0.0,4.74,0.02
B137,0.0315,10.0,115,54.3,87.5,rua,0.6,18.75,0.31,733.64,0.0729,357.8731707317073,89.0,2.05,Transbordamento,53.7,2.6,57.97,92.6341210971192,4.4850784888735555,61.59,0.0,0.0,4.74,0.02
